Material,Hv,G,B,Covalency,Density,Source,k,sigma,delta,Hv_Tian,K
TiH2,2.0,35.0,100.0,0.1,3.8,Additional,0.35,3.5,0.001,3.456156256545244,0.02961057859070566
ZrH2,1.5,30.0,90.0,0.08,5.6,Additional,0.3333333333333333,2.4,0.001,2.931587147871949,0.020304396747912453
HfH2,1.5,32.0,95.0,0.08,11.4,Additional,0.3368421052631579,2.56,0.001,3.1054017837785968,0.021658023197773282
NbH,2.0,38.0,105.0,0.1,8.3,Additional,0.3619047619047619,3.8000000000000003,0.001,3.8053650932367957,0.03214862818419472
TaH,2.0,40.0,108.0,0.1,15.1,Additional,0.37037037037037035,4.0,0.001,4.051218818407562,0.033840661246520756
VH2,1.5,28.0,85.0,0.08,5.5,Additional,0.32941176470588235,2.24,0.001,2.7545145872483183,0.018950770298051624
ZrSiO4,10.0,100.0,180.0,0.58,4.56,Additional,0.5555555555555556,57.99999999999999,0.001,12.289748317742436,0.4906895880745509
HfSiO4,11.0,110.0,190.0,0.55,6.9,Additional,0.5789473684210527,60.50000000000001,0.001,13.778898061815498,0.5118400013536265
Mg2SiO4,8.0,85.0,150.0,0.55,3.21,Additional,0.5666666666666667,46.75000000000001,0.001,11.203403654964232,0.39551272831871137
Fe2SiO4,7.0,78.0,140.0,0.52,4.4,Additional,0.5571428571428572,40.56,0.001,10.340815576048264,0.3431443050397205
CaSiO3,6.0,70.0,130.0,0.5,2.9,Additional,0.5384615384615384,35.0,0.001,9.213828399696096,0.2961057859070566
MgSiO3,8.0,80.0,145.0,0.55,3.2,Additional,0.5517241379310345,44.0,0.001,10.41150314881764,0.3722472737117283
Al2SiO5,12.0,110.0,185.0,0.6,3.2,Additional,0.5945945945945946,66.0,0.001,14.203097758660967,0.5583709105675925
C (Diamond),96.0,535.0,442.0,1.0,3.52,Literature,1.2104072398190044,535.0,0.001,97.66870624267753,4.526188441722151
BN (cubic),63.0,405.0,400.0,0.9,3.45,Literature,1.0125,364.5,0.001,65.46363776156568,3.0837302560892037
C3N4 (cubic),72.0,380.0,370.0,0.88,3.2,Literature,1.027027027027027,334.4,0.001,63.59796257950038,2.829079280209135
BC4,65.0,400.0,380.0,0.93,3.3,Literature,1.0526315789473684,372.0,0.001,67.82261989885363,3.1471814959264304
B2C,40.0,250.0,260.0,0.87,2.7,Literature,0.9615384615384616,217.5,0.001,43.869475970452875,1.840085955279566
SiC (6H),26.0,190.0,225.0,0.85,3.21,Literature,0.8444444444444444,161.5,0.001,31.164251320660846,1.3663166978282755
